scientific_name,longitude,latitude
pseudopodoces humilis,92.35,29.83
pseudopodoces humilis,100.29,29.99
pseudopodoces humilis,100.92,29.99
pseudopodoces humilis,101,30
pseudopodoces humilis,93.96,30.01
pseudopodoces humilis,101.96,30.05
pseudopodoces humilis,83.41,30.1
pseudopodoces humilis,95.08,30.1
pseudopodoces humilis,97.3,30.21
pseudopodoces humilis,82.95,30.28
pseudopodoces humilis,91.51,30.31
pseudopodoces humilis,90.96,30.39
pseudopodoces humilis,91.1,30.48
pseudopodoces humilis,99.54,30.48
pseudopodoces humilis,97.12,30.55
pseudopodoces humilis,81.32,30.58
pseudopodoces humilis,90.73,30.62
pseudopodoces humilis,81.47,30.68
pseudopodoces humilis,91.1,30.69
pseudopodoces humilis,90.89,30.71
pseudopodoces humilis,90.97,30.74
pseudopodoces humilis,100.17,30.75
pseudopodoces humilis,81.4,30.77
pseudopodoces humilis,81.55,30.77
pseudopodoces humilis,90.86,30.78
pseudopodoces humilis,91.07,30.79
pseudopodoces humilis,81.41,30.85
pseudopodoces humilis,85.12,31.01
pseudopodoces humilis,81.31,31.07
pseudopodoces humilis,102.45,31.2
pseudopodoces humilis,96.05,31.21
pseudopodoces humilis,80.64,31.32
pseudopodoces humilis,90.03,31.41
pseudopodoces humilis,95.6,31.41
pseudopodoces humilis,96.41,31.44
pseudopodoces humilis,92.04,31.48
pseudopodoces humilis,79.8,31.5
pseudopodoces humilis,92.01,31.64
pseudopodoces humilis,94.64,31.76
pseudopodoces humilis,87.25,31.78
pseudopodoces humilis,96.48,31.8
pseudopodoces humilis,96.54,31.82
pseudopodoces humilis,96.63,31.84
pseudopodoces humilis,99.15,31.87
pseudopodoces humilis,99.21,31.92
pseudopodoces humilis,94.03,31.93
pseudopodoces humilis,96.51,31.97
pseudopodoces humilis,99.12,31.97
pseudopodoces humilis,100.49,32.05
pseudopodoces humilis,103.7,32.05
pseudopodoces humilis,84.96,32.09
pseudopodoces humilis,100.46,32.15
pseudopodoces humilis,95.89,32.17
pseudopodoces humilis,96.93,32.18
pseudopodoces humilis,96.35,32.19
pseudopodoces humilis,96.25,32.21
pseudopodoces humilis,96.48,32.21
pseudopodoces humilis,96.69,32.24
pseudopodoces humilis,91.67,32.28
pseudopodoces humilis,96.49,32.28
pseudopodoces humilis,102.49,32.28
pseudopodoces humilis,100.33,32.29
pseudopodoces humilis,96.62,32.31
pseudopodoces humilis,96.7,32.33
pseudopodoces humilis,96.55,32.34
pseudopodoces humilis,97.25,32.35
pseudopodoces humilis,100.31,32.36
pseudopodoces humilis,102.41,32.41
pseudopodoces humilis,96.42,32.42
pseudopodoces humilis,96.37,32.45
pseudopodoces humilis,96.64,32.46
pseudopodoces humilis,102.28,32.46
pseudopodoces humilis,98.49,32.47
pseudopodoces humilis,96.61,32.53
pseudopodoces humilis,96.45,32.55
pseudopodoces humilis,91.86,32.56
pseudopodoces humilis,96.53,32.58
pseudopodoces humilis,102.33,32.59
pseudopodoces humilis,96.57,32.63
